"","DN3","DRW145","DRW146","DRW147","DRW150","DRW155","JLC005","JLC008","JLC011","KMCR682","KMCR685","KMCR691","KMCR692","KMCR697","KMCR723","KMCR726","KMCR727","KMCR730","KMCR731","KMCR739","KN2","KN3","LMB150","LMB151","LMB152","LMB153","LMB154","LN","MI0071","MI0086","RCKB2220","RCKB2225","RCKB2230","RCKB2232","RCKB2239","RCKB2259","RCKB2275","RCKB2283","RCKB2285","RCKB2299","RLJ003","RLJ18","RLJ19","RLJ20","TN2","TN3","TN5"
"d425159199fd3ba200f191cd8faa0593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0
"99b8f795e58e44bc639b6e3109d4fe34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16641c50ca2fad46bb92693b7d872db8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"918a06f7b38c07617ef7aad6ab3fbbc6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0bf0ce8d4d49bf146baac2048b1e3de1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"989434a5ed803321c3b5cc57c7f60554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40ced13a540b7c5f7fe23011a80047b8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8c864d8415e40b29c9ec69ebfa2de64d",0,0,0,0,0,0,20,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"704f402759716034fcf1e3e3fc9ed34b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2e90a55ddf95e7d8a0fbb777074433f8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
